Ore Name,ItemStack,Item ID,Display Name,Wildcard
Artefact-chococake,1xitem.flour@32767,minefantasy2:MF_Com_flour,(wildcard),true
Artefact-chococake,1xitem.egg@32767,minecraft:egg,(wildcard),true
Artefact-chococake,1xitem.dyePowder@3,minecraft:dye,可可豆,false
Artefact-clay_wall,1xitem.clay@32767,minecraft:clay_ball,(wildcard),true
Artefact-clay_wall,1xitem.nail@32767,minefantasy2:MF_Com_nail,(wildcard),true
Artefact-coalflux,1xitem.coal@32767,minecraft:coal,(wildcard),true
Artefact-coalflux,1xitem.flux@32767,minefantasy2:MF_Com_flux,(wildcard),true
Artefact-cogarmour,1xitem.null@7,minefantasy2:artefact_any,机甲机械图纸,false
Artefact-cogarmour,1xitem.null@8,minefantasy2:artefact_any,机甲框架图纸,false
Artefact-coke,1xitem.coal@32767,minecraft:coal,(wildcard),true
Artefact-coke,1xitem.redstone@32767,minecraft:redstone,(wildcard),true
Artefact-compplate,1xitem.null@9,minefantasy2:artefact_any,复合合金图纸,false
Artefact-craftArmourHeavy,1xitem.leather@32767,minecraft:leather,(wildcard),true
Artefact-craftArmourHeavy,1xtile.cloth@32767,minecraft:wool,(wildcard),true
Artefact-craftArmourHeavy,1xitem.feather@32767,minecraft:feather,(wildcard),true
Artefact-craftArmourMedium,1xitem.leather@32767,minecraft:leather,(wildcard),true
Artefact-craftOrnate,1xitem.dyePowder@4,minecraft:dye,青金石,false
Artefact-crossAmmo,1xitem.tungsten_gears@32767,minefantasy2:MF_Com_tungsten_gears,(wildcard),true
Artefact-crossBayonet,1xitem.standard_dagger@32767,minefantasy2:standard_dagger,(wildcard),true
Artefact-crossHeadAdvanced,1xitem.tungsten_gears@32767,minefantasy2:MF_Com_tungsten_gears,(wildcard),true
Artefact-crossScope,1xitem.spyglass@32767,minefantasy2:spyglass,(wildcard),true
Artefact-crossShaftAdvanced,1xitem.tungsten_gears@32767,minefantasy2:MF_Com_tungsten_gears,(wildcard),true
Artefact-crossbows,1xitem.string@32767,minecraft:string,(wildcard),true
Artefact-crossbows,1xitem.plank@32767,minefantasy2:MF_Com_plank,(wildcard),true
Artefact-crossbows,1xtile.lever@32767,minecraft:lever,(wildcard),true
Artefact-crossheadadvanced,1xitem.null@5,minefantasy2:artefact_any,矮人弩图纸,false
Artefact-crossshaftadvanced,1xitem.null@5,minefantasy2:artefact_any,矮人弩图纸,false
Artefact-crucible2,1xitem.fireclay@32767,minefantasy2:MF_Com_fireclay,(wildcard),true
Artefact-decorated_stone,1xitem.ingotIron@32767,minecraft:iron_ingot,(wildcard),true
Artefact-decorated_stone,1xtile.null@32767,minefantasy2:reinforced_stone,(wildcard),true
Artefact-eclair,1xitem.egg@32767,minecraft:egg,(wildcard),true
Artefact-eclair,1xitem.dyePowder@3,minecraft:dye,可可豆,false
Artefact-eclair,1xitem.pastry@32767,minefantasy2:MF_UFoodpastry,(wildcard),true
Artefact-engTanner,1xitem.bronze_gears@32767,minefantasy2:MF_Com_bronze_gears,(wildcard),true
Artefact-firebomb,1xitem.dragon_heart@32767,minefantasy2:MF_Com_dragon_heart,(wildcard),true
Artefact-firebomb,1xitem.magmaCream@32767,minecraft:magma_cream,(wildcard),true
Artefact-jerky,1xitem.generic_meat_uncooked@32767,minefantasy2:MF2_food_generic_meat_uncooked,(wildcard),true
Artefact-meatpie,1xitem.generic_meat_uncooked@32767,minefantasy2:MF2_food_generic_meat_uncooked,(wildcard),true
Artefact-meatpie,1xitem.pastry@32767,minefantasy2:MF_UFoodpastry,(wildcard),true
Artefact-mineCeramic,1xitem.blackpowder@32767,minefantasy2:MF_Com_blackpowder,(wildcard),true
Artefact-mineCeramic,1xtile.pressurePlate@32767,minecraft:stone_pressure_plate,(wildcard),true
Artefact-mineCrystal,1xitem.diamond@32767,minecraft:diamond,(wildcard),true
Artefact-mineIron,1xitem.ingotIron@32767,minecraft:iron_ingot,(wildcard),true
Artefact-mineObsidian,1xtile.obsidian@32767,minecraft:obsidian,(wildcard),true
Artefact-mineobsidian,1xitem.null@4,minefantasy2:artefact_any,矮人炸弹图纸,false
Artefact-paint_brush,1xtile.cloth@32767,minecraft:wool,(wildcard),true
Artefact-parachute,1xitem.feather@32767,minecraft:feather,(wildcard),true
Artefact-parachute,1xtile.cloth@32767,minecraft:wool,(wildcard),true
Artefact-refined_planks,1xitem.nail@32767,minefantasy2:MF_Com_nail,(wildcard),true
Artefact-repair_advanced,1xtile.repair_basic@32767,minefantasy2:repair_basic,(wildcard),true
Artefact-repair_advanced,1xitem.slimeball@32767,minecraft:slime_ball,(wildcard),true
Artefact-repair_advanced,1xitem.string@32767,minecraft:string,(wildcard),true
Artefact-repair_basic,1xitem.leather@32767,minecraft:leather,(wildcard),true
Artefact-repair_basic,1xitem.flint@32767,minecraft:flint,(wildcard),true
Artefact-repair_basic,1xitem.nail@32767,minefantasy2:MF_Com_nail,(wildcard),true
Artefact-repair_ornate,1xitem.diamond@32767,minecraft:diamond,(wildcard),true
Artefact-repair_ornate,1xitem.ingotGold@32767,minecraft:gold_ingot,(wildcard),true
Artefact-repair_ornate,1xtile.repair_advanced@32767,minefantasy2:repair_advanced,(wildcard),true
Artefact-sandwitch,1xitem.generic_meat_uncooked@32767,minefantasy2:MF2_food_generic_meat_uncooked,(wildcard),true
Artefact-sandwitch,1xitem.cheese_slice@32767,minefantasy2:MF2_food_cheese_slice,(wildcard),true
Artefact-sandwitch,1xitem.bread@32767,minecraft:bread,(wildcard),true
Artefact-sandwitchBig,1xitem.generic_meat_uncooked@32767,minefantasy2:MF2_food_generic_meat_uncooked,(wildcard),true
Artefact-sandwitchBig,1xitem.cheese_slice@32767,minefantasy2:MF2_food_cheese_slice,(wildcard),true
Artefact-sandwitchBig,1xitem.bread@32767,minecraft:bread,(wildcard),true
Artefact-saussage,1xitem.generic_meat_uncooked@32767,minefantasy2:MF2_food_generic_meat_uncooked,(wildcard),true
Artefact-saussage,1xitem.guts@32767,minefantasy2:MF_Com_guts,(wildcard),true
Artefact-shepardpie,1xitem.generic_meat_uncooked@32767,minefantasy2:MF2_food_generic_meat_uncooked,(wildcard),true
Artefact-shepardpie,1xitem.potato@32767,minecraft:potato,(wildcard),true
Artefact-shepardpie,1xitem.pastry@32767,minefantasy2:MF_UFoodpastry,(wildcard),true
Artefact-shrapnel,1xitem.flint@32767,minecraft:flint,(wildcard),true
Artefact-smeltAdamantium,1xtile.oreMythic@32767,minefantasy2:oreMythic,(wildcard),true
Artefact-smeltAdamantium,1xitem.ingotGold@32767,minecraft:gold_ingot,(wildcard),true
Artefact-smeltBlackSteel,1xtile.obsidian@32767,minecraft:obsidian,(wildcard),true
Artefact-smeltBlackSteel,1xic2.itemIngot@2,IC2:itemIngot,青铜锭,false
Artefact-smeltBlackSteel,1xitem.ingot@6,libVulpes:libVulpesproductingot,钢 锭,false
Artefact-smeltBlackSteel,1xitem.thermalfoundation.material@73,ThermalFoundation:material,青铜锭,false
Artefact-smeltBlackSteel,1xitem.for.ingotBronze@0,Forestry:ingotBronze,青铜锭,false
Artefact-smeltBlackSteel,1xitem.metal.item.Bronze.ingot@0,Metallurgy:bronze.ingot,青铜锭,false
Artefact-smeltBlackSteel,1xitem.itemIngots@1280,clayium:itemIngots,青铜锭,false
Artefact-smeltBlackSteel,1xitem.ingotBronze@0,minefantasy2:MF_Com_ingotBronze,青铜锭,false
Artefact-smeltBlackSteel,1xitem.null@2,Mekanism:Ingot,青铜锭,false
Artefact-smeltBlackSteel,1xic2.itemIngot@3,IC2:itemIngot,精炼铁锭,false
Artefact-smeltBlackSteel,1xitem.railcraft.ingot@0,Railcraft:ingot,钢锭,false
Artefact-smeltBlackSteel,1xitem.ImmersiveEngineering.metal@7,ImmersiveEngineering:metal,钢锭,false
Artefact-smeltBlackSteel,1xitem.metal.item.Steel.ingot@0,Metallurgy:steel.ingot,钢锭,false
Artefact-smeltBlackSteel,1xitem.itemIngots@1536,clayium:itemIngots,钢锭,false
Artefact-smeltBlackSteel,1xitem.sharedItem@4423,Eln:Eln.sharedItem,Arc Metal Ingot,false
Artefact-smeltBlackSteel,1xitem.ingotSteel@0,minefantasy2:MF_Com_ingotSteel,钢锭,false
Artefact-smeltBlackSteel,1xitem.null@4,Mekanism:Ingot,钢锭,false
Artefact-smeltBlackSteel,1xitem.item.modingots@47,RotaryCraft:rotarycraft_item_modingots,Pig Iron Ingot,false
Artefact-smeltBlackSteel,1xitem.ingot_steel@0,hbm:item.ingot_steel,钢锭,false
Artefact-smeltBlueSteel,1xitem.blazePowder@32767,minecraft:blaze_powder,(wildcard),true
Artefact-smeltBlueSteel,1xic2.itemIngot@6,IC2:itemIngot,银锭,false
Artefact-smeltBlueSteel,1xitem.metal.item.BlackSteel.ingot@0,Metallurgy:black.steel.ingot,黑钢锭,false
Artefact-smeltBlueSteel,1xitem.dyePowder@4,minecraft:dye,青金石,false
Artefact-smeltBlueSteel,1xitem.flux_strong@32767,minefantasy2:MF_Com_flux_strong,(wildcard),true
Artefact-smeltBlueSteel,1xitem.thermalfoundation.material@66,ThermalFoundation:material,银锭,false
Artefact-smeltBlueSteel,1xitem.ImmersiveEngineering.metal@3,ImmersiveEngineering:metal,银锭,false
Artefact-smeltBlueSteel,1xitem.factorization:silver_ingot@0,factorization:silver_ingot,银锭,false
Artefact-smeltBlueSteel,1xitem.metal.item.Silver.ingot@0,Metallurgy:silver.ingot,银锭,false
Artefact-smeltBlueSteel,1xitem.itemIngots@47,clayium:itemIngots,银锭,false
Artefact-smeltBlueSteel,1xitem.ingot@14,industrialupgrade:iuingot,银锭,false
Artefact-smeltBlueSteel,1xitem.ingotSilver@0,minefantasy2:MF_Com_ingotSilver,银锭,false
Artefact-smeltBlueSteel,1xitem.Ingots@3,ReactorCraft:reactorcraft_item_ingots,银锭,false
Artefact-smeltBlueSteel,1xitem.item.compacts@7,RotaryCraft:rotarycraft_item_compacts,银锭,false
Artefact-smeltBlueSteel,1xitem.item.modingots@4,RotaryCraft:rotarycraft_item_modingots,Silver Ingot,false
Artefact-smeltBlueSteel,1xitem.item.modingots@39,RotaryCraft:rotarycraft_item_modingots,Nether Silver Ingot,false
Artefact-smeltBlueSteel,1xitem.item.electriingots@2,ElectriCraft:electricraft_item_ingots,银锭,false
Artefact-smeltBlueSteel,1xitem.ingotBlackSteel@0,minefantasy2:MF_Com_ingotBlackSteel,黑钢锭,false
Artefact-smeltBronze,1xitem.ingot@4,libVulpes:libVulpesproductingot,铜 锭,false
Artefact-smeltBronze,1xitem.ingot@5,libVulpes:libVulpesproductingot,锡 锭,false
Artefact-smeltBronze,1xic2.itemIngot@1,IC2:itemIngot,锡锭,false
Artefact-smeltBronze,1xitem.railcraft.ingot@2,Railcraft:ingot,锡锭,false
Artefact-smeltBronze,1xitem.thermalfoundation.material@65,ThermalFoundation:material,锡锭,false
Artefact-smeltBronze,1xitem.for.ingotTin@0,Forestry:ingotTin,锡锭,false
Artefact-smeltBronze,1xitem.metal.item.Tin.ingot@0,Metallurgy:tin.ingot,锡锭,false
Artefact-smeltBronze,1xitem.itemIngots@50,clayium:itemIngots,锡锭,false
Artefact-smeltBronze,1xitem.ingotTin@0,minefantasy2:MF_Com_ingotTin,锡锭,false
Artefact-smeltBronze,1xitem.null@6,Mekanism:Ingot,锡锭,false
Artefact-smeltBronze,1xitem.item.modingots@0,RotaryCraft:rotarycraft_item_modingots,Tin Ingot,false
Artefact-smeltBronze,1xitem.item.modingots@35,RotaryCraft:rotarycraft_item_modingots,Nether Tin Ingot,false
Artefact-smeltBronze,1xitem.item.electriingots@1,ElectriCraft:electricraft_item_ingots,锡锭,false
Artefact-smeltBronze,1xic2.itemIngot@0,IC2:itemIngot,铜锭,false
Artefact-smeltBronze,1xitem.railcraft.ingot@1,Railcraft:ingot,铜锭,false
Artefact-smeltBronze,1xitem.thermalfoundation.material@64,ThermalFoundation:material,铜锭,false
Artefact-smeltBronze,1xitem.ImmersiveEngineering.metal@0,ImmersiveEngineering:metal,铜锭,false
Artefact-smeltBronze,1xitem.for.ingotCopper@0,Forestry:ingotCopper,铜锭,false
Artefact-smeltBronze,1xitem.metal.item.Copper.ingot@0,Metallurgy:copper.ingot,铜锭,false
Artefact-smeltBronze,1xitem.itemIngots@29,clayium:itemIngots,铜锭,false
Artefact-smeltBronze,1xitem.sharedItem@513,Eln:Eln.sharedItem,铜锭,false
Artefact-smeltBronze,1xitem.ingotCopper@0,Magneticraft:item.ingotCopper,铜锭,false
Artefact-smeltBronze,1xitem.ingotCopper@0,minefantasy2:MF_Com_ingotCopper,铜锭,false
Artefact-smeltBronze,1xitem.null@5,Mekanism:Ingot,铜锭,false
Artefact-smeltBronze,1xitem.item.modingots@1,RotaryCraft:rotarycraft_item_modingots,Copper Ingot,false
Artefact-smeltBronze,1xitem.item.modingots@36,RotaryCraft:rotarycraft_item_modingots,Nether Copper Ingot,false
Artefact-smeltBronze,1xitem.item.electriingots@0,ElectriCraft:electricraft_item_ingots,铜锭,false
Artefact-smeltBronze,1xitem.ingot_copper@0,hbm:item.ingot_copper,工业级铜,false
Artefact-smeltDragonforge,1xitem.dragon_heart@32767,minefantasy2:MF_Com_dragon_heart,(wildcard),true
Artefact-smeltEncrusted,1xitem.ingot@6,libVulpes:libVulpesproductingot,钢 锭,false
Artefact-smeltEncrusted,1xitem.diamond@32767,minecraft:diamond,(wildcard),true
Artefact-smeltEncrusted,1xic2.itemIngot@3,IC2:itemIngot,精炼铁锭,false
Artefact-smeltEncrusted,1xitem.railcraft.ingot@0,Railcraft:ingot,钢锭,false
Artefact-smeltEncrusted,1xitem.ImmersiveEngineering.metal@7,ImmersiveEngineering:metal,钢锭,false
Artefact-smeltEncrusted,1xitem.metal.item.Steel.ingot@0,Metallurgy:steel.ingot,钢锭,false
Artefact-smeltEncrusted,1xitem.itemIngots@1536,clayium:itemIngots,钢锭,false
Artefact-smeltEncrusted,1xitem.sharedItem@4423,Eln:Eln.sharedItem,Arc Metal Ingot,false
Artefact-smeltEncrusted,1xitem.ingotSteel@0,minefantasy2:MF_Com_ingotSteel,钢锭,false
Artefact-smeltEncrusted,1xitem.null@4,Mekanism:Ingot,钢锭,false
Artefact-smeltEncrusted,1xitem.item.modingots@47,RotaryCraft:rotarycraft_item_modingots,Pig Iron Ingot,false
Artefact-smeltEncrusted,1xitem.ingot_steel@0,hbm:item.ingot_steel,钢锭,false
Artefact-smeltEnder,1xitem.ingotAdamantium@0,minefantasy2:MF_Com_ingotAdamantium,艾德曼锭,false
Artefact-smeltEnder,1xitem.thermalfoundation.material@70,ThermalFoundation:material,蕴魔秘银锭,false
Artefact-smeltEnder,1xitem.enderPearl@32767,minecraft:ender_pearl,(wildcard),true
Artefact-smeltEnder,1xitem.metal.item.Mithril.ingot@0,Metallurgy:mithril.ingot,秘银锭,false
Artefact-smeltEnder,1xitem.ingotMithril@0,minefantasy2:MF_Com_ingotMithril,秘银锭,false
Artefact-smeltIgnotumite,1xitem.ingotAdamantium@0,minefantasy2:MF_Com_ingotAdamantium,艾德曼锭,false
Artefact-smeltIgnotumite,1xitem.emerald@32767,minecraft:emerald,(wildcard),true
Artefact-smeltIgnotumite,1xitem.blazePowder@32767,minecraft:blaze_powder,(wildcard),true
Artefact-smeltIron,1xtile.oreIron@32767,minecraft:iron_ore,(wildcard),true
Artefact-smeltMithium,1xitem.thermalfoundation.material@70,ThermalFoundation:material,蕴魔秘银锭,false
Artefact-smeltMithium,1xitem.ghastTear@32767,minecraft:ghast_tear,(wildcard),true
Artefact-smeltMithium,1xitem.diamond@32767,minecraft:diamond,(wildcard),true
Artefact-smeltMithium,1xitem.metal.item.Mithril.ingot@0,Metallurgy:mithril.ingot,秘银锭,false
Artefact-smeltMithium,1xitem.ingotMithril@0,minefantasy2:MF_Com_ingotMithril,秘银锭,false
Artefact-smeltMithril,1xtile.oreMythic@32767,minefantasy2:oreMythic,(wildcard),true
Artefact-smeltMithril,1xic2.itemIngot@6,IC2:itemIngot,银锭,false
Artefact-smeltMithril,1xitem.thermalfoundation.material@66,ThermalFoundation:material,银锭,false
Artefact-smeltMithril,1xitem.ImmersiveEngineering.metal@3,ImmersiveEngineering:metal,银锭,false
Artefact-smeltMithril,1xitem.factorization:silver_ingot@0,factorization:silver_ingot,银锭,false
Artefact-smeltMithril,1xitem.metal.item.Silver.ingot@0,Metallurgy:silver.ingot,银锭,false
Artefact-smeltMithril,1xitem.itemIngots@47,clayium:itemIngots,银锭,false
Artefact-smeltMithril,1xitem.ingot@14,industrialupgrade:iuingot,银锭,false
Artefact-smeltMithril,1xitem.ingotSilver@0,minefantasy2:MF_Com_ingotSilver,银锭,false
Artefact-smeltMithril,1xitem.Ingots@3,ReactorCraft:reactorcraft_item_ingots,银锭,false
Artefact-smeltMithril,1xitem.item.compacts@7,RotaryCraft:rotarycraft_item_compacts,银锭,false
Artefact-smeltMithril,1xitem.item.modingots@4,RotaryCraft:rotarycraft_item_modingots,Silver Ingot,false
Artefact-smeltMithril,1xitem.item.modingots@39,RotaryCraft:rotarycraft_item_modingots,Nether Silver Ingot,false
Artefact-smeltMithril,1xitem.item.electriingots@2,ElectriCraft:electricraft_item_ingots,银锭,false
Artefact-smeltObsidian,1xitem.ingot@6,libVulpes:libVulpesproductingot,钢 锭,false
Artefact-smeltObsidian,1xtile.obsidian@32767,minecraft:obsidian,(wildcard),true
Artefact-smeltObsidian,1xic2.itemIngot@3,IC2:itemIngot,精炼铁锭,false
Artefact-smeltObsidian,1xitem.railcraft.ingot@0,Railcraft:ingot,钢锭,false
Artefact-smeltObsidian,1xitem.ImmersiveEngineering.metal@7,ImmersiveEngineering:metal,钢锭,false
Artefact-smeltObsidian,1xitem.metal.item.Steel.ingot@0,Metallurgy:steel.ingot,钢锭,false
Artefact-smeltObsidian,1xitem.itemIngots@1536,clayium:itemIngots,钢锭,false
Artefact-smeltObsidian,1xitem.sharedItem@4423,Eln:Eln.sharedItem,Arc Metal Ingot,false
Artefact-smeltObsidian,1xitem.ingotSteel@0,minefantasy2:MF_Com_ingotSteel,钢锭,false
Artefact-smeltObsidian,1xitem.null@4,Mekanism:Ingot,钢锭,false
Artefact-smeltObsidian,1xitem.item.modingots@47,RotaryCraft:rotarycraft_item_modingots,Pig Iron Ingot,false
Artefact-smeltObsidian,1xitem.ingot_steel@0,hbm:item.ingot_steel,钢锭,false
Artefact-smeltRedSteel,1xitem.blazePowder@32767,minecraft:blaze_powder,(wildcard),true
Artefact-smeltRedSteel,1xitem.ingotGold@32767,minecraft:gold_ingot,(wildcard),true
Artefact-smeltRedSteel,1xitem.redstone@32767,minecraft:redstone,(wildcard),true
Artefact-smeltRedSteel,1xitem.metal.item.BlackSteel.ingot@0,Metallurgy:black.steel.ingot,黑钢锭,false
Artefact-smeltRedSteel,1xitem.flux_strong@32767,minefantasy2:MF_Com_flux_strong,(wildcard),true
Artefact-smeltRedSteel,1xitem.ingotBlackSteel@0,minefantasy2:MF_Com_ingotBlackSteel,黑钢锭,false
Artefact-smeltSteel,1xitem.ingotPigIron@0,minefantasy2:MF_Com_ingotPigIron,生铁锭,false
Artefact-smeltadamantium,1xitem.null@1,minefantasy2:artefact_any,古代珠宝,false
Artefact-smeltmaster,1xitem.null@0,minefantasy2:artefact_any,古代珠宝,false
Artefact-smeltmaster,1xitem.null@1,minefantasy2:artefact_any,古代珠宝,false
Artefact-smeltmaster,1xitem.null@2,minefantasy2:artefact_any,古代珠宝,false
Artefact-smeltmithril,1xitem.null@0,minefantasy2:artefact_any,古代珠宝,false
Artefact-spyglass,1xitem.bronze_gears@32767,minefantasy2:MF_Com_bronze_gears,(wildcard),true
Artefact-spyglass,1xtile.glass@32767,minecraft:glass,(wildcard),true
Artefact-stickybomb,1xitem.slimeball@32767,minecraft:slime_ball,(wildcard),true
Artefact-sweetroll,1xitem.sugar@32767,minecraft:sugar,(wildcard),true
Artefact-sweetroll,1xitem.berries@32767,minefantasy2:MF2_food_berries,(wildcard),true
Artefact-sweetroll,1xitem.sugarpot@32767,minefantasy2:MF_Com_sugarpot,(wildcard),true
Artefact-syringe,1xitem.potion@32767,minecraft:potion,(wildcard),true
Artefact-tungsten,1xitem.oreTungsten@32767,minefantasy2:MF_Ore_oreTungsten,(wildcard),true
Artefact-tungsten,1xtile.oreTungsten@32767,minefantasy2:oreTungsten,(wildcard),true
Asbestos,1xitem.ingot_asbestos@0,hbm:item.ingot_asbestos,石棉板,false
Au198,1xitem.ingot_au198@0,hbm:item.ingot_au198,金-198锭,false
Australium,1xitem.ingot_australium@0,hbm:item.ingot_australium,奥斯锭,false
Bakelite,1xitem.ingot_bakelite@0,hbm:item.ingot_bakelite,电木锭,false
Beryllium,1xitem.ingot_beryllium@0,hbm:item.ingot_beryllium,铍锭,false
Bismuth,1xitem.ingot_bismuth@0,hbm:item.ingot_bismuth,铋锭,false
Boron,1xitem.ingot_boron@0,hbm:item.ingot_boron,硼锭,false
CMBSteel,1xitem.ingot_combine_steel@0,hbm:item.ingot_combine_steel,CMB钢锭,false
Cadmium,1xitem.ingot_cadmium@0,hbm:item.ingot_cadmium,Cadmium Ingot,false
Calcium,1xitem.ingot_calcium@0,hbm:item.ingot_calcium,钙锭,false
Carbon-1,1xitem.coal@32767,minecraft:coal,(wildcard),true
Carbon-1,1xitem.coke@0,minefantasy2:MF_Com_coke,焦炭,false
Carbon-1,1xitem.coal_flux@0,minefantasy2:MF_Com_coal_flux,含煤熔剂,false
Carbon-9,1xtile.blockCoal@0,minecraft:coal_block,煤炭块,false
CdAlloy,1xitem.ingot_cdalloy@0,hbm:item.ingot_cdalloy,Cadmium Steel Ingot,false
Co60,1xitem.ingot_co60@0,hbm:item.ingot_co60,钴-60锭,false
